Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g74620.1	ABI3	ABI3/VP1	28033845	-	1932	n.a.	n.a.	n.a.
At1g74630.1	ABI3	ABI3/VP1	28033088	-	-1094	n.a.	n.a.	n.a.
At1g74630.1	ABI3	ABI3/VP1	28033845	-	-337	n.a.	n.a.	n.a.
At1g74630.1	ABI3	ABI3/VP1	28032465	-	-1717	n.a.	n.a.	n.a.
At1g74720.1	ABI3	ABI3/VP1	28081434	+	2620	n.a.	n.a.	n.a.
At1g74730.1	ABI3	ABI3/VP1	28081434	+	-1084	n.a.	n.a.	n.a.
At1g75060.1	ABI3	ABI3/VP1	28187722	+	-558	n.a.	n.a.	n.a.
At1g75070.1	ABI3	ABI3/VP1	28187722	-	-471	n.a.	n.a.	n.a.
At1g75080.1	ABI3	ABI3/VP1	28187722	-	-1443	n.a.	n.a.	n.a.
At1g75510.1	ABI3	ABI3/VP1	28352673	-	-277	n.a.	n.a.	n.a.
At1g76200.1	ABI3	ABI3/VP1	28601217	-	3073	n.a.	n.a.	n.a.
At1g76210.1	ABI3	ABI3/VP1	28601217	+	-342	n.a.	n.a.	n.a.
At1g76220.1	ABI3	ABI3/VP1	28601217	+	1977	n.a.	n.a.	n.a.
At1g77390.1	ABI3	ABI3/VP1	29085765	-	3414	n.a.	n.a.	n.a.
At1g77400.1	ABI3	ABI3/VP1	29093439	-	2734	n.a.	n.a.	n.a.
At1g77405.1	ABI3	ABI3/VP1	29093439	-	1400	n.a.	n.a.	n.a.
At1g77590.1	ABI3	ABI3/VP1	29157385	-	-715	n.a.	n.a.	n.a.
At1g77910.1	ABI3	ABI3/VP1	29301844	-	812	n.a.	n.a.	n.a.
At1g77920.1	ABI3	ABI3/VP1	29301844	-	-1293	n.a.	n.a.	n.a.
At1g78490.1	ABI3	ABI3/VP1	29535286	-	2140	n.a.	n.a.	n.a.
At1g78500.1	ABI3	ABI3/VP1	29535286	-	-1253	n.a.	n.a.	n.a.
At1g78920.1	ABI3	ABI3/VP1	29678663	-	2277	n.a.	n.a.	n.a.
At1g79670.1	ABI3	ABI3/VP1	29985063	-	-820	n.a.	n.a.	n.a.
At1g79680.1	ABI3	ABI3/VP1	29985063	-	2603	n.a.	n.a.	n.a.
At1g79920.1	ABI3	ABI3/VP1	30069382	-	-1745	n.a.	n.a.	n.a.
At1g79930.1	ABI3	ABI3/VP1	30069382	-	3058	n.a.	n.a.	n.a.
At1g80090.1	ABI3	ABI3/VP1	30137999	-	3002	n.a.	n.a.	n.a.
At1g80100.1	ABI3	ABI3/VP1	30137999	-	-620	n.a.	n.a.	n.a.
At1g80130.1	ABI3	ABI3/VP1	30149253	+	-1715	n.a.	n.a.	n.a.
At1g80133.1	ABI3	ABI3/VP1	30149253	+	-106	n.a.	n.a.	n.a.
At1g80350.1	ABI3	ABI3/VP1	30209585	+	3533	n.a.	n.a.	n.a.
At1g80360.1	ABI3	ABI3/VP1	30216364	-	-669	n.a.	n.a.	n.a.
At2g01340.1	ABI3	ABI3/VP1	163022	-	-931	n.a.	n.a.	n.a.
At2g02500.1	ABI3	ABI3/VP1	671413	-	1741	n.a.	n.a.	n.a.
At2g02510.1	ABI3	ABI3/VP1	671413	+	-1891	n.a.	n.a.	n.a.
At2g03090.1	ABI3	ABI3/VP1	920033	+	-1391	n.a.	n.a.	n.a.
At2g03150.1	ABI3	ABI3/VP1	951880	-	-50	n.a.	n.a.	n.a.
At2g03800.1	ABI3	ABI3/VP1	1159388	-	2678	n.a.	n.a.	n.a.
At2g03980.1	ABI3	ABI3/VP1	1259145	-	-51	n.a.	n.a.	n.a.
At2g04770.1	ABI3	ABI3/VP1	1674393	-	3280	n.a.	n.a.	n.a.
At2g05030.1	ABI3	ABI3/VP1	1784525	+	2642	n.a.	n.a.	n.a.
At2g05040.1	ABI3	ABI3/VP1	1784525	+	1409	n.a.	n.a.	n.a.
At2g05335.1	ABI3	ABI3/VP1	1944547	+	1993	n.a.	n.a.	n.a.
At2g05380.1	ABI3	ABI3/VP1	1966794	+	-19	n.a.	n.a.	n.a.
At2g05730.1	ABI3	ABI3/VP1	2151976	+	1434	n.a.	n.a.	n.a.
At2g05845.1	ABI3	ABI3/VP1	2240008	+	-1421	n.a.	n.a.	n.a.
At2g06002.1	ABI3	ABI3/VP1	2332721	+	1948	n.a.	n.a.	n.a.
At2g06002.1	ABI3	ABI3/VP1	2334230	-	3457	n.a.	n.a.	n.a.
At2g06005.1	ABI3	ABI3/VP1	2334230	-	1686	n.a.	n.a.	n.a.
At2g06005.1	ABI3	ABI3/VP1	2332721	+	177	n.a.	n.a.	n.a.
At2g06020.1	ABI3	ABI3/VP1	2340963	+	-1569	n.a.	n.a.	n.a.
At2g06562.1	ABI3	ABI3/VP1	2619492	+	1941	n.a.	n.a.	n.a.
At2g06885.1	ABI3	ABI3/VP1	2789745	-	-479	n.a.	n.a.	n.a.
At2g06940.1	ABI3	ABI3/VP1	2854780	-	152	n.a.	n.a.	n.a.
At2g07030.1	ABI3	ABI3/VP1	2916771	+	3145	n.a.	n.a.	n.a.
At2g07040.1	ABI3	ABI3/VP1	2916771	+	236	n.a.	n.a.	n.a.
At2g07042.1	ABI3	ABI3/VP1	2916771	-	3777	n.a.	n.a.	n.a.
At2g07070.1	ABI3	ABI3/VP1	2932173	+	2138	n.a.	n.a.	n.a.
At2g07360.1	ABI3	ABI3/VP1	3054877	+	2303	n.a.	n.a.	n.a.
At2g07520.1	ABI3	ABI3/VP1	3136899	+	1790	n.a.	n.a.	n.a.
At2g07521.1	ABI3	ABI3/VP1	3136899	+	285	n.a.	n.a.	n.a.
At2g07685.1	ABI3	ABI3/VP1	3310047	+	2108	n.a.	n.a.	n.a.
At2g07686.1	ABI3	ABI3/VP1	3310047	-	1324	n.a.	n.a.	n.a.
At2g07687.1	ABI3	ABI3/VP1	3310047	-	2601	n.a.	n.a.	n.a.
At2g07736.1	ABI3	ABI3/VP1	3482140	-	-1510	n.a.	n.a.	n.a.
At2g07737.1	ABI3	ABI3/VP1	3482140	-	-77	n.a.	n.a.	n.a.
At2g07744.1	ABI3	ABI3/VP1	3235510	-	1845	n.a.	n.a.	n.a.
At2g07775.1	ABI3	ABI3/VP1	3482140	+	-1175	n.a.	n.a.	n.a.
At2g09388.1	ABI3	ABI3/VP1	3659977	+	1738	n.a.	n.a.	n.a.
At2g09589.1	ABI3	ABI3/VP1	3659977	-	3982	n.a.	n.a.	n.a.
At2g09850.1	ABI3	ABI3/VP1	3716452	+	1611	n.a.	n.a.	n.a.
At2g10130.1	ABI3	ABI3/VP1	3845786	-	-811	n.a.	n.a.	n.a.
At2g10140.1	ABI3	ABI3/VP1	3845786	+	281	n.a.	n.a.	n.a.
At2g10465.1	ABI3	ABI3/VP1	4040576	-	2254	n.a.	n.a.	n.a.
At2g10470.1	ABI3	ABI3/VP1	4040576	-	-425	n.a.	n.a.	n.a.
At2g11005.1	ABI3	ABI3/VP1	4357560	+	1967	n.a.	n.a.	n.a.
At2g11890.1	ABI3	ABI3/VP1	4812020	+	2145	n.a.	n.a.	n.a.
At2g11891.1	ABI3	ABI3/VP1	4812020	+	547	n.a.	n.a.	n.a.
At2g11910.1	ABI3	ABI3/VP1	4812020	-	2372	n.a.	n.a.	n.a.
At2g12050.1	ABI3	ABI3/VP1	4867146	+	-1878	n.a.	n.a.	n.a.
At2g12060.1	ABI3	ABI3/VP1	4867146	-	-1592	n.a.	n.a.	n.a.
At2g12100.1	ABI3	ABI3/VP1	4880140	+	-529	n.a.	n.a.	n.a.
At2g12950.1	ABI3	ABI3/VP1	5334890	+	-740	n.a.	n.a.	n.a.
At2g12960.1	ABI3	ABI3/VP1	5334890	-	-486	n.a.	n.a.	n.a.
At2g13660.1	ABI3	ABI3/VP1	5701136	+	-1038	n.a.	n.a.	n.a.
At2g13665.1	ABI3	ABI3/VP1	5701136	-	1898	n.a.	n.a.	n.a.
At2g13680.1	ABI3	ABI3/VP1	5701136	-	-1070	n.a.	n.a.	n.a.
At2g13760.1	ABI3	ABI3/VP1	5744319	-	-1593	n.a.	n.a.	n.a.
At2g13770.1	ABI3	ABI3/VP1	5744319	+	667	n.a.	n.a.	n.a.
At2g14520.1	ABI3	ABI3/VP1	6190735	-	995	n.a.	n.a.	n.a.
At2g14690.1	ABI3	ABI3/VP1	6293013	-	124	n.a.	n.a.	n.a.
At2g14692.1	ABI3	ABI3/VP1	6293013	+	-1709	n.a.	n.a.	n.a.
At2g14790.1	ABI3	ABI3/VP1	6352268	+	-967	n.a.	n.a.	n.a.
At2g15060.1	ABI3	ABI3/VP1	6534458	-	1137	n.a.	n.a.	n.a.
At2g16600.1	ABI3	ABI3/VP1	7210379	+	2490	n.a.	n.a.	n.a.
At2g16610.1	ABI3	ABI3/VP1	7210379	-	579	n.a.	n.a.	n.a.
At2g16620.1	ABI3	ABI3/VP1	7210379	-	2621	n.a.	n.a.	n.a.
At2g16970.1	ABI3	ABI3/VP1	7380207	-	3576	n.a.	n.a.	n.a.
At2g17870.1	ABI3	ABI3/VP1	7773507	+	-1195	n.a.	n.a.	n.a.
At2g17880.1	ABI3	ABI3/VP1	7773507	+	1506	n.a.	n.a.	n.a.
At2g18110.1	ABI3	ABI3/VP1	7881213	-	1880	n.a.	n.a.	n.a.
At2g18115.1	ABI3	ABI3/VP1	7881213	-	-6	n.a.	n.a.	n.a.
At2g18120.1	ABI3	ABI3/VP1	7881213	+	3550	n.a.	n.a.	n.a.
At2g18340.1	ABI3	ABI3/VP1	7979780	+	3378	n.a.	n.a.	n.a.
At2g18350.1	ABI3	ABI3/VP1	7979780	-	-617	n.a.	n.a.	n.a.
At2g18440.1	ABI3	ABI3/VP1	8005023	-	-743	n.a.	n.a.	n.a.
At2g18450.1	ABI3	ABI3/VP1	8005023	-	2863	n.a.	n.a.	n.a.
At2g18650.1	ABI3	ABI3/VP1	8095272	+	-59	n.a.	n.a.	n.a.
At2g18660.1	ABI3	ABI3/VP1	8095272	+	3466	n.a.	n.a.	n.a.
At2g19090.1	ABI3	ABI3/VP1	8276288	+	-1327	n.a.	n.a.	n.a.
At2g19120.1	ABI3	ABI3/VP1	8296433	-	2451	n.a.	n.a.	n.a.
At2g19120.1	ABI3	ABI3/VP1	8297547	+	1337	n.a.	n.a.	n.a.
At2g19190.1	ABI3	ABI3/VP1	8337183	+	-157	n.a.	n.a.	n.a.
At2g19420.1	ABI3	ABI3/VP1	8419494	-	711	n.a.	n.a.	n.a.
At2g19425.1	ABI3	ABI3/VP1	8419494	+	206	n.a.	n.a.	n.a.
At2g19500.1	ABI3	ABI3/VP1	8454988	-	-551	n.a.	n.a.	n.a.
At2g19890.1	ABI3	ABI3/VP1	8597407	-	3081	n.a.	n.a.	n.a.
At2g19893.1	ABI3	ABI3/VP1	8597407	-	372	n.a.	n.a.	n.a.
At2g20340.1	ABI3	ABI3/VP1	8785250	+	-1566	n.a.	n.a.	n.a.
At2g20350.1	ABI3	ABI3/VP1	8791697	-	-153	n.a.	n.a.	n.a.
At2g20360.1	ABI3	ABI3/VP1	8791697	-	-1372	n.a.	n.a.	n.a.
At2g21050.1	ABI3	ABI3/VP1	9042814	-	1643	n.a.	n.a.	n.a.
At2g21060.1	ABI3	ABI3/VP1	9042814	+	1917	n.a.	n.a.	n.a.
At2g21470.1	ABI3	ABI3/VP1	9206747	+	1073	n.a.	n.a.	n.a.
At2g21710.1	ABI3	ABI3/VP1	9280796	-	2830	n.a.	n.a.	n.a.
At2g21720.1	ABI3	ABI3/VP1	9280796	-	20	n.a.	n.a.	n.a.
At2g22110.1	ABI3	ABI3/VP1	9401545	+	795	n.a.	n.a.	n.a.
At2g22120.1	ABI3	ABI3/VP1	9401545	+	642	n.a.	n.a.	n.a.
At2g22540.1	ABI3	ABI3/VP1	9589735	+	2781	n.a.	n.a.	n.a.
At2g22795.1	ABI3	ABI3/VP1	9707754	-	-777	n.a.	n.a.	n.a.
At2g23096.1	ABI3	ABI3/VP1	9845147	+	-1832	n.a.	n.a.	n.a.
At2g23100.1	ABI3	ABI3/VP1	9845147	+	1669	n.a.	n.a.	n.a.
At2g23170.1	ABI3	ABI3/VP1	9875147	-	-1505	n.a.	n.a.	n.a.
At2g23171.1	ABI3	ABI3/VP1	9875147	-	-1275	n.a.	n.a.	n.a.
At2g23630.1	ABI3	ABI3/VP1	10062526	+	-129	n.a.	n.a.	n.a.
At2g23860.1	ABI3	ABI3/VP1	10166422	+	2337	n.a.	n.a.	n.a.
At2g23880.1	ABI3	ABI3/VP1	10175793	-	1549	n.a.	n.a.	n.a.
At2g23890.1	ABI3	ABI3/VP1	10175793	+	-1888	n.a.	n.a.	n.a.
At2g25660.1	ABI3	ABI3/VP1	10933538	-	930	n.a.	n.a.	n.a.
At2g25697.1	ABI3	ABI3/VP1	10953753	+	-421	n.a.	n.a.	n.a.
At2g25700.1	ABI3	ABI3/VP1	10953753	-	2951	n.a.	n.a.	n.a.
At2g25790.1	ABI3	ABI3/VP1	11010290	+	2613	n.a.	n.a.	n.a.
At2g25790.1	ABI3	ABI3/VP1	11007789	+	112	n.a.	n.a.	n.a.
At2g27170.1	ABI3	ABI3/VP1	11622406	+	2106	n.a.	n.a.	n.a.
At2g27170.1	ABI3	ABI3/VP1	11623634	+	878	n.a.	n.a.	n.a.
At2g28350.1	ABI3	ABI3/VP1	12120469	-	-939	n.a.	n.a.	n.a.
At2g28610.1	ABI3	ABI3/VP1	12267763	-	-1327	n.a.	n.a.	n.a.
At2g28630.1	ABI3	ABI3/VP1	12286254	+	-1932	n.a.	n.a.	n.a.
At2g28670.1	ABI3	ABI3/VP1	12307011	-	1856	n.a.	n.a.	n.a.
At2g28671.1	ABI3	ABI3/VP1	12307011	+	-269	n.a.	n.a.	n.a.
At2g28850.1	ABI3	ABI3/VP1	12393305	-	-1267	n.a.	n.a.	n.a.
At2g28860.1	ABI3	ABI3/VP1	12393305	-	3644	n.a.	n.a.	n.a.
At2g29220.1	ABI3	ABI3/VP1	12573444	-	-1703	n.a.	n.a.	n.a.
At2g29230.1	ABI3	ABI3/VP1	12573444	+	-1651	n.a.	n.a.	n.a.
At2g29995.1	ABI3	ABI3/VP1	12805338	+	1158	n.a.	n.a.	n.a.
At2g30360.1	ABI3	ABI3/VP1	12944007	+	1904	n.a.	n.a.	n.a.
At2g30362.1	ABI3	ABI3/VP1	12944007	-	-421	n.a.	n.a.	n.a.
At2g30368.1	ABI3	ABI3/VP1	12944007	+	3593	n.a.	n.a.	n.a.
At2g30550.1	ABI3	ABI3/VP1	13024659	-	2723	n.a.	n.a.	n.a.
At2g30560.1	ABI3	ABI3/VP1	13024659	-	235	n.a.	n.a.	n.a.
At2g30570.1	ABI3	ABI3/VP1	13024659	+	2612	n.a.	n.a.	n.a.
At2g31081.1	ABI3	ABI3/VP1	13246316	+	1192	n.a.	n.a.	n.a.
At2g31271.1	ABI3	ABI3/VP1	13341025	+	-1557	n.a.	n.a.	n.a.
At2g31520.1	ABI3	ABI3/VP1	13435679	+	-1513	n.a.	n.a.	n.a.
At2g31530.1	ABI3	ABI3/VP1	13435679	-	1194	n.a.	n.a.	n.a.
At2g31540.1	ABI3	ABI3/VP1	13435679	+	3463	n.a.	n.a.	n.a.
At2g32100.1	ABI3	ABI3/VP1	13656362	+	1433	n.a.	n.a.	n.a.
At2g32110.1	ABI3	ABI3/VP1	13656362	+	-1989	n.a.	n.a.	n.a.
At2g32160.1	ABI3	ABI3/VP1	13671261	+	1971	n.a.	n.a.	n.a.
At2g33490.1	ABI3	ABI3/VP1	14193358	-	2730	n.a.	n.a.	n.a.
At2g33500.1	ABI3	ABI3/VP1	14193358	+	3972	n.a.	n.a.	n.a.
At2g33680.1	ABI3	ABI3/VP1	14257670	-	986	n.a.	n.a.	n.a.
At2g33690.1	ABI3	ABI3/VP1	14257670	-	-1605	n.a.	n.a.	n.a.
At2g33690.1	ABI3	ABI3/VP1	14260278	-	1003	n.a.	n.a.	n.a.
At2g33700.1	ABI3	ABI3/VP1	14263423	+	2923	n.a.	n.a.	n.a.
At2g33700.1	ABI3	ABI3/VP1	14260278	-	-222	n.a.	n.a.	n.a.
At2g33705.1	ABI3	ABI3/VP1	14263423	+	196	n.a.	n.a.	n.a.
At2g33707.1	ABI3	ABI3/VP1	14263423	-	911	n.a.	n.a.	n.a.
At2g33835.1	ABI3	ABI3/VP1	14323053	+	-1277	n.a.	n.a.	n.a.
At2g33840.1	ABI3	ABI3/VP1	14323053	-	1033	n.a.	n.a.	n.a.
At2g33845.1	ABI3	ABI3/VP1	14323053	-	-1699	n.a.	n.a.	n.a.
At2g34185.1	ABI3	ABI3/VP1	14441349	-	-69	n.a.	n.a.	n.a.
At2g34186.1	ABI3	ABI3/VP1	14441349	+	1679	n.a.	n.a.	n.a.
At2g34700.1	ABI3	ABI3/VP1	14642137	+	569	n.a.	n.a.	n.a.
At2g35320.1	ABI3	ABI3/VP1	14877794	-	-1855	n.a.	n.a.	n.a.
At2g35330.1	ABI3	ABI3/VP1	14877794	+	1726	n.a.	n.a.	n.a.
At2g35340.1	ABI3	ABI3/VP1	14877794	+	-1605	n.a.	n.a.	n.a.
At2g35620.1	ABI3	ABI3/VP1	14971998	+	440	n.a.	n.a.	n.a.
At2g35630.1	ABI3	ABI3/VP1	14971998	-	-1759	n.a.	n.a.	n.a.
At2g35930.1	ABI3	ABI3/VP1	15088651	-	2901	n.a.	n.a.	n.a.
At2g36710.1	ABI3	ABI3/VP1	15397990	-	340	n.a.	n.a.	n.a.
At2g37290.1	ABI3	ABI3/VP1	15665729	+	2685	n.a.	n.a.	n.a.
At2g37800.1	ABI3	ABI3/VP1	15852664	-	-1976	n.a.	n.a.	n.a.
At2g37810.1	ABI3	ABI3/VP1	15852664	-	465	n.a.	n.a.	n.a.
At2g37820.1	ABI3	ABI3/VP1	15856047	-	1477	n.a.	n.a.	n.a.
At2g37820.1	ABI3	ABI3/VP1	15852664	+	-1906	n.a.	n.a.	n.a.
At2g37830.1	ABI3	ABI3/VP1	15856047	+	622	n.a.	n.a.	n.a.
At2g38520.1	ABI3	ABI3/VP1	16135580	+	2583	n.a.	n.a.	n.a.
At2g38530.1	ABI3	ABI3/VP1	16135580	+	124	n.a.	n.a.	n.a.
At2g38540.1	ABI3	ABI3/VP1	16135580	+	-1848	n.a.	n.a.	n.a.
At2g38600.1	ABI3	ABI3/VP1	16154545	-	1560	n.a.	n.a.	n.a.
At2g38610.1	ABI3	ABI3/VP1	16154545	+	2406	n.a.	n.a.	n.a.
At2g38700.1	ABI3	ABI3/VP1	16191680	+	-656	n.a.	n.a.	n.a.
At2g38710.1	ABI3	ABI3/VP1	16191680	+	2571	n.a.	n.a.	n.a.
At2g38900.1	ABI3	ABI3/VP1	16251041	-	748	n.a.	n.a.	n.a.
At2g38905.1	ABI3	ABI3/VP1	16251041	+	540	n.a.	n.a.	n.a.
At2g38910.1	ABI3	ABI3/VP1	16251041	+	3520	n.a.	n.a.	n.a.
At2g40470.1	ABI3	ABI3/VP1	16910140	+	590	n.a.	n.a.	n.a.
At2g41400.1	ABI3	ABI3/VP1	17268555	-	2020	n.a.	n.a.	n.a.
At2g41410.1	ABI3	ABI3/VP1	17268555	+	1407	n.a.	n.a.	n.a.
At2g41415.1	ABI3	ABI3/VP1	17268555	+	3605	n.a.	n.a.	n.a.
At2g41700.1	ABI3	ABI3/VP1	17399262	-	3926	n.a.	n.a.	n.a.
At2g41740.1	ABI3	ABI3/VP1	17422590	-	2228	n.a.	n.a.	n.a.
At2g41745.1	ABI3	ABI3/VP1	17422590	-	3911	n.a.	n.a.	n.a.
At2g41850.1	ABI3	ABI3/VP1	17470794	-	445	n.a.	n.a.	n.a.
At2g42365.1	ABI3	ABI3/VP1	17652009	+	904	n.a.	n.a.	n.a.
At2g42370.1	ABI3	ABI3/VP1	17652009	-	1597	n.a.	n.a.	n.a.
At2g42580.1	ABI3	ABI3/VP1	17734213	+	-1580	n.a.	n.a.	n.a.
At2g42600.1	ABI3	ABI3/VP1	17745608	-	554	n.a.	n.a.	n.a.
At2g42620.1	ABI3	ABI3/VP1	17761467	-	-1750	n.a.	n.a.	n.a.
At2g42990.1	ABI3	ABI3/VP1	17885770	+	-338	n.a.	n.a.	n.a.
At2g43000.1	ABI3	ABI3/VP1	17885770	-	3943	n.a.	n.a.	n.a.
At2g44770.1	ABI3	ABI3/VP1	18466428	+	2031	n.a.	n.a.	n.a.
At2g44780.1	ABI3	ABI3/VP1	18466428	-	1841	n.a.	n.a.	n.a.
At2g45460.1	ABI3	ABI3/VP1	18745457	+	3307	n.a.	n.a.	n.a.
At2g45760.1	ABI3	ABI3/VP1	18856325	-	-1430	n.a.	n.a.	n.a.
At2g45770.1	ABI3	ABI3/VP1	18856325	+	-1967	n.a.	n.a.	n.a.
At2g46180.1	ABI3	ABI3/VP1	18978650	+	-227	n.a.	n.a.	n.a.
At2g46190.1	ABI3	ABI3/VP1	18978650	-	-222	n.a.	n.a.	n.a.
At2g46192.1	ABI3	ABI3/VP1	18978650	-	-1730	n.a.	n.a.	n.a.
At2g46320.1	ABI3	ABI3/VP1	19025316	-	2430	n.a.	n.a.	n.a.
At2g46330.1	ABI3	ABI3/VP1	19025316	+	1012	n.a.	n.a.	n.a.
At2g46410.1	ABI3	ABI3/VP1	19054011	+	3403	n.a.	n.a.	n.a.
At2g46410.1	ABI3	ABI3/VP1	19054015	-	3399	n.a.	n.a.	n.a.
At2g46590.1	ABI3	ABI3/VP1	19140484	-	183	n.a.	n.a.	n.a.
At2g46685.1	ABI3	ABI3/VP1	19185185	+	1989	n.a.	n.a.	n.a.
At2g47250.1	ABI3	ABI3/VP1	19411063	+	-949	n.a.	n.a.	n.a.
At2g47260.1	ABI3	ABI3/VP1	19411063	+	3091	n.a.	n.a.	n.a.
At2g47870.1	ABI3	ABI3/VP1	19611695	-	1286	n.a.	n.a.	n.a.
At2g47880.1	ABI3	ABI3/VP1	19611695	-	-415	n.a.	n.a.	n.a.
At2g47920.1	ABI3	ABI3/VP1	19623950	-	1103	n.a.	n.a.	n.a.
At2g47930.1	ABI3	ABI3/VP1	19623950	+	801	n.a.	n.a.	n.a.
At2g48030.1	ABI3	ABI3/VP1	19659192	+	-1974	n.a.	n.a.	n.a.
At2g48040.1	ABI3	ABI3/VP1	19659192	+	643	n.a.	n.a.	n.a.
At3g02050.1	ABI3	ABI3/VP1	353048	+	2425	n.a.	n.a.	n.a.
At3g02060.1	ABI3	ABI3/VP1	353048	+	-1319	n.a.	n.a.	n.a.
At3g02170.1	ABI3	ABI3/VP1	400647	+	-861	n.a.	n.a.	n.a.
At3g02468.1	ABI3	ABI3/VP1	509517	+	423	n.a.	n.a.	n.a.
At3g02470.1	ABI3	ABI3/VP1	509517	+	393	n.a.	n.a.	n.a.
At3g04280.1	ABI3	ABI3/VP1	1133020	+	-1929	n.a.	n.a.	n.a.
At3g04290.1	ABI3	ABI3/VP1	1133020	+	3303	n.a.	n.a.	n.a.
At3g04730.1	ABI3	ABI3/VP1	1291809	-	-1201	n.a.	n.a.	n.a.
At3g04732.1	ABI3	ABI3/VP1	1291809	+	187	n.a.	n.a.	n.a.
At3g04735.1	ABI3	ABI3/VP1	1291809	-	922	n.a.	n.a.	n.a.
At3g04970.1	ABI3	ABI3/VP1	1377929	+	1748	n.a.	n.a.	n.a.
At3g05300.1	ABI3	ABI3/VP1	1509624	+	-1007	n.a.	n.a.	n.a.
At3g05310.1	ABI3	ABI3/VP1	1509624	-	-542	n.a.	n.a.	n.a.
At3g05741.1	ABI3	ABI3/VP1	1703473	+	-1287	n.a.	n.a.	n.a.
At3g05746.1	ABI3	ABI3/VP1	1703473	-	217	n.a.	n.a.	n.a.
At3g05750.1	ABI3	ABI3/VP1	1703473	-	-653	n.a.	n.a.	n.a.
At3g05858.1	ABI3	ABI3/VP1	1750363	-	1015	n.a.	n.a.	n.a.
At3g05860.1	ABI3	ABI3/VP1	1750363	+	1998	n.a.	n.a.	n.a.
At3g05950.1	ABI3	ABI3/VP1	1783929	-	-1916	n.a.	n.a.	n.a.
At3g05960.1	ABI3	ABI3/VP1	1783929	-	1411	n.a.	n.a.	n.a.
At3g06260.1	ABI3	ABI3/VP1	1895378	+	-513	n.a.	n.a.	n.a.
At3g06270.1	ABI3	ABI3/VP1	1895378	-	-765	n.a.	n.a.	n.a.
At3g07830.1	ABI3	ABI3/VP1	2500639	+	388	n.a.	n.a.	n.a.
At3g07840.1	ABI3	ABI3/VP1	2500639	+	2932	n.a.	n.a.	n.a.
At3g08490.1	ABI3	ABI3/VP1	2574729	+	492	n.a.	n.a.	n.a.
At3g08500.1	ABI3	ABI3/VP1	2574729	+	3523	n.a.	n.a.	n.a.
At3g08960.1	ABI3	ABI3/VP1	2734330	+	2437	n.a.	n.a.	n.a.
At3g09090.1	ABI3	ABI3/VP1	2789764	+	-1955	n.a.	n.a.	n.a.
At3g09100.1	ABI3	ABI3/VP1	2789764	+	3773	n.a.	n.a.	n.a.
At3g09260.1	ABI3	ABI3/VP1	2844053	+	-266	n.a.	n.a.	n.a.
At3g09385.1	ABI3	ABI3/VP1	2888753	-	2212	n.a.	n.a.	n.a.
At3g09390.1	ABI3	ABI3/VP1	2888753	+	1482	n.a.	n.a.	n.a.
At3g09570.1	ABI3	ABI3/VP1	2943981	-	3530	n.a.	n.a.	n.a.
At3g09580.1	ABI3	ABI3/VP1	2943981	+	102	n.a.	n.a.	n.a.
At3g09585.1	ABI3	ABI3/VP1	2943981	-	-636	n.a.	n.a.	n.a.
At3g10710.1	ABI3	ABI3/VP1	3354001	-	1707	n.a.	n.a.	n.a.
At3g10720.1	ABI3	ABI3/VP1	3354001	+	2054	n.a.	n.a.	n.a.
At3g10880.1	ABI3	ABI3/VP1	3405158	-	-662	n.a.	n.a.	n.a.
At3g10890.1	ABI3	ABI3/VP1	3405158	+	3847	n.a.	n.a.	n.a.
At3g11350.1	ABI3	ABI3/VP1	3560352	+	1851	n.a.	n.a.	n.a.
At3g11370.1	ABI3	ABI3/VP1	3560352	+	-753	n.a.	n.a.	n.a.
At3g11395.1	ABI3	ABI3/VP1	3577096	-	1246	n.a.	n.a.	n.a.
At3g11397.1	ABI3	ABI3/VP1	3577096	-	1073	n.a.	n.a.	n.a.
At3g11400.1	ABI3	ABI3/VP1	3577096	-	-1298	n.a.	n.a.	n.a.
At3g12590.1	ABI3	ABI3/VP1	3999714	-	3950	n.a.	n.a.	n.a.
At3g12880.1	ABI3	ABI3/VP1	4098298	+	2756	n.a.	n.a.	n.a.
At3g12890.1	ABI3	ABI3/VP1	4098298	+	-908	n.a.	n.a.	n.a.
At3g12900.1	ABI3	ABI3/VP1	4107138	+	2555	n.a.	n.a.	n.a.
At3g12960.1	ABI3	ABI3/VP1	4138324	-	1829	n.a.	n.a.	n.a.
At3g12965.1	ABI3	ABI3/VP1	4138324	+	-643	n.a.	n.a.	n.a.
At3g13790.1	ABI3	ABI3/VP1	4533219	+	2655	n.a.	n.a.	n.a.
At3g13980.1	ABI3	ABI3/VP1	4616996	+	3273	n.a.	n.a.	n.a.
At3g14395.1	ABI3	ABI3/VP1	4812302	+	1372	n.a.	n.a.	n.a.
At3g14400.1	ABI3	ABI3/VP1	4812302	-	3220	n.a.	n.a.	n.a.
At3g14440.1	ABI3	ABI3/VP1	4831028	-	2578	n.a.	n.a.	n.a.
At3g14640.1	ABI3	ABI3/VP1	4921611	-	1748	n.a.	n.a.	n.a.
At3g14650.1	ABI3	ABI3/VP1	4921611	-	-527	n.a.	n.a.	n.a.
At3g14650.1	ABI3	ABI3/VP1	4924352	-	2214	n.a.	n.a.	n.a.
At3g14660.1	ABI3	ABI3/VP1	4924352	-	-432	n.a.	n.a.	n.a.
